:simple_smile:,https://a.slack-edge.com/66f9/img/emoji_2015/apple-old/simple_smile.png,,1
:metal:,https://emoji.slack-edge.com/T024FKZ2C/metal/9f936a4278.png,,1
:android:,https://emoji.slack-edge.com/T024FKZ2C/android/70c0ff10cd173f81.png,,0
:doggiraffe:,https://emoji.slack-edge.com/T024FKZ2C/doggiraffe/c19ff7ce0aa22cec.png,,1
:boooom:,https://emoji.slack-edge.com/T024FKZ2C/boooom/71fde314ab338e08.gif,,1
:strong:,https://emoji.slack-edge.com/T024FKZ2C/strong/ff87d52ff3ada65b.png,,1
:wat:,https://emoji.slack-edge.com/T024FKZ2C/wat/cdb8ba9052c858a8.png,,-1
:facepalm:,https://emoji.slack-edge.com/T024FKZ2C/facepalm/188355b81b3b2f58.gif,,-1
:plus1000:,https://emoji.slack-edge.com/T024FKZ2C/plus1000/6807405f696936db.png,,1
:trollface: :troll:,https://emoji.slack-edge.com/T024FKZ2C/trollface/8c0ac4ae98.png,,0
:upsidedowndoggiraffe:,https://emoji.slack-edge.com/T024FKZ2C/upsidedowndoggiraffe/6f15e4def9789269.png,,0
:allthethings:,https://emoji.slack-edge.com/T024FKZ2C/allthethings/d1982b54fe216d76.png,,0
:romain:,https://emoji.slack-edge.com/T024FKZ2C/romain/a9ca81989a6790e7.png,,0
:poppop:,https://emoji.slack-edge.com/T024FKZ2C/poppop/64b90b37bd798c80.gif,,0
:bacon:,https://emoji.slack-edge.com/T024FKZ2C/bacon/d7d9da7abb6d193c.png,,1
:squirrel: :shipit:,https://emoji.slack-edge.com/T024FKZ2C/squirrel/465f40c0e0.png,,0
:200:,https://emoji.slack-edge.com/T024FKZ2C/200/7e66e3d27d00dee1.png,,1
:4thofjuly-ricky:,https://emoji.slack-edge.com/T024FKZ2C/4thofjuly-ricky/54f79418f931da59.png,,1
:5rings:,https://emoji.slack-edge.com/T024FKZ2C/5rings/d199fa56514c4ed8.gif,,1
:aapl:,https://emoji.slack-edge.com/T024FKZ2C/aapl/58265fbb19f08239.png,,0
:adele:,https://emoji.slack-edge.com/T024FKZ2C/adele/e1a63b8f77723b2e.jpg,,0
:adele-total:,https://emoji.slack-edge.com/T024FKZ2C/adele-total/fdf0c80bc77b2ac4.png,,1
:ahha: :alan:,https://emoji.slack-edge.com/T024FKZ2C/ahha/b174625c548c129d.jpg,,1
:aintnobody:,https://emoji.slack-edge.com/T024FKZ2C/aintnobody/9a92f975b0901fab.jpg,,-1
:al:,https://emoji.slack-edge.com/T024FKZ2C/al/053621deab23c611.png,,0
:alexey:,https://emoji.slack-edge.com/T024FKZ2C/alexey/be2a0384d7b904e2.png,,0
:allthethings:,https://emoji.slack-edge.com/T024FKZ2C/allthethings/d1982b54fe216d76.png,,0
:anastasia:,https://emoji.slack-edge.com/T024FKZ2C/anastasia/1db051cad0731793.png,,0
:android:,https://emoji.slack-edge.com/T024FKZ2C/android/70c0ff10cd173f81.png,,0
:angel-ricky:,https://emoji.slack-edge.com/T024FKZ2C/angel-ricky/5e3d1882c6313c75.png,,1
:angrycal:,https://emoji.slack-edge.com/T024FKZ2C/angrycal/aa9c8c4ab41d7da7.gif,,-1
:anus:,https://emoji.slack-edge.com/T024FKZ2C/anus/0df04292fc6caa28.png,,1
:average:,https://emoji.slack-edge.com/T024FKZ2C/average/4efacaa43c4e4e50.png,,-1
:awesome:,https://emoji.slack-edge.com/T024FKZ2C/awesome/f1b8eeac5d7883fd.png,,1
:back2school-ricky:,https://emoji.slack-edge.com/T024FKZ2C/back2school-ricky/8961145b237155c8.png,,1
:bacon:,https://emoji.slack-edge.com/T024FKZ2C/bacon/d7d9da7abb6d193c.png,,1
:badass:,https://emoji.slack-edge.com/T024FKZ2C/badass/1353c006ce22a560.png,,1
:badtime:,https://emoji.slack-edge.com/T024FKZ2C/badtime/5efc6f72f7e12040.png,,-1
:baguette:,https://emoji.slack-edge.com/T024FKZ2C/baguette/4e39156da86d0561.png,,1
:bald-ricky:,https://emoji.slack-edge.com/T024FKZ2C/bald-ricky/a7eb33e3e5b574a4.png,,0
:ballmer:,https://emoji.slack-edge.com/T024FKZ2C/ballmer/dd62df98f5864a18.gif,,0
:bandit:,https://emoji.slack-edge.com/T024FKZ2C/bandit/65d3bf33b4c0cebf.png,,1
:bang_head:,https://emoji.slack-edge.com/T024FKZ2C/bang_head/889fe067a708ac4b.gif,,0
:baron:,https://emoji.slack-edge.com/T024FKZ2C/baron/edba2c2228191b53.png,,0
:batman:,https://emoji.slack-edge.com/T024FKZ2C/batman/2c273558ddf3e0a2.png,,1
:batman-ricky:,https://emoji.slack-edge.com/T024FKZ2C/batman-ricky/cc3ed6510e8abf04.png,,1
:beachball:,https://emoji.slack-edge.com/T024FKZ2C/beachball/7687b66a0b5fd0fc.png,,0
:beiber:,https://emoji.slack-edge.com/T024FKZ2C/beiber/0e6fe2ceb4f8b781.png,,-1
:beryl:,https://emoji.slack-edge.com/T024FKZ2C/beryl/efe1ba7e7a.png,,0
:beyonce:,https://emoji.slack-edge.com/T024FKZ2C/beyonce/4334ebca6c6be93c.jpg,,1
:bigfreda:,https://emoji.slack-edge.com/T024FKZ2C/bigfreda/143f272b82ec2708.png,,1
:blackmamba:,https://emoji.slack-edge.com/T024FKZ2C/blackmamba/49607bf5be835759.png,,1
:bobross:,https://emoji.slack-edge.com/T024FKZ2C/bobross/d803202afbaa01da.png,,1
:bolt-: :bolt-power:,https://emoji.slack-edge.com/T024FKZ2C/bolt-/d889656182439c24.png,,1
:boooom:,https://emoji.slack-edge.com/T024FKZ2C/boooom/71fde314ab338e08.gif,,1
:booooom:,https://emoji.slack-edge.com/T024FKZ2C/booooom/07303df55af18f20.gif,,1
:bork:,https://emoji.slack-edge.com/T024FKZ2C/bork/57319d6735d5a57f.png,,-1
:bowdown:,https://emoji.slack-edge.com/T024FKZ2C/bowdown/6415c74b586aba81.gif,,1
:bowie:,https://emoji.slack-edge.com/T024FKZ2C/bowie/5de966679bce7544.jpg,,1
:bowtie:,https://emoji.slack-edge.com/T024FKZ2C/bowtie/f3ec6f2bb0.png,,1
:brent:,https://emoji.slack-edge.com/T024FKZ2C/brent/7303e7ae7ec91496.jpg,,-1
:brew:,https://emoji.slack-edge.com/T024FKZ2C/brew/5ba297ee7fd0ffea.png,,0
:brfc:,https://emoji.slack-edge.com/T024FKZ2C/brfc/ae0fc4c98c7096b7.gif,,0
:british-amy:,https://emoji.slack-edge.com/T024FKZ2C/british-amy/6b14a4e700d1d520.png,,1
:bucket:,https://emoji.slack-edge.com/T024FKZ2C/bucket/a0bd1582f3bf4926.png,,0
:burrito2:,https://emoji.slack-edge.com/T024FKZ2C/burrito2/9ab72ffe04ee9882.png,,1
:cal:,https://emoji.slack-edge.com/T024FKZ2C/cal/475a1d308dc18ac3.png,,0
:calloohcallay:,https://emoji.slack-edge.com/T024FKZ2C/calloohcallay/0fce1915286ee08d.png,,1
:cannon-goes-boom:,https://emoji.slack-edge.com/T024FKZ2C/cannon-goes-boom/98e9d58191aba812.gif,,1
:captain:,https://emoji.slack-edge.com/T024FKZ2C/captain/d4e2638a30aceb5b.png,,1
:captain-ricky:,https://emoji.slack-edge.com/T024FKZ2C/captain-ricky/8662617c4877da48.png,,1
:ceilingcat:,https://emoji.slack-edge.com/T024FKZ2C/ceilingcat/27a16309aa46563e.png,,1
:challengeaccepted:,https://emoji.slack-edge.com/T024FKZ2C/challengeaccepted/171f5d012165d918.png,,1
:charlie:,https://emoji.slack-edge.com/T024FKZ2C/charlie/d9d50d34f640b253.png,,0
